route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
15633,CMBC,603,BEACH GROVE/BRIDGEPORT           , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r603.ashx, , 
15634,CMBC,604,ENGLISH BLUFF/BRIDGEPORT, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r604.ashx, , 
15635,CMBC,606,LADNER RING, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r606.ashx, , 
15636,CMBC,608,LADNER RING, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r608.ashx, , 
15637,CMBC,609,TSAWWASSEN FIRST NATION/SOUTH DELTA, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r609.ashx, , 
15638,CMBC,620,TSAWWASSEN FERRY/BRIDGEPORT STATION, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r620.ashx, , 
15639,CMBC,640,LADNER EXCH/SCOTT ROAD STN , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r640.ashx, , 
15640,CMBC,701,HANEY/MAPLE RIDGE EAST/COQ STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r701.ashx, , 
15641,CMBC,791,HANEY PLACE/BRAID STN, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r791.ashx, , 
15643,CMBC,804,HOLY CROSS SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r804.ashx, , 
15644,CMBC,807,SCHOOL SPECIAL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r807.ashx, , 
15645,CMBC,828,KWANTLEN PARK SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r828.ashx, , 
15646,CMBC,848,PORT MOODY SS, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r848.ashx, , 
15647,CMBC,855,ELGIN PARK SCHOOL SPECIAL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r855.ashx, , 
15648,CMBC,861,RIVERSIDE SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r861.ashx, , 
15649,CMBC,863,TERRY FOX/ARCH CARNEY, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r863.ashx, , 
15650,CMBC,865,ROBERTSON, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r865.ashx, , 
15651,CMBC,866,GLENEAGLE SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r866.ashx, , 
15652,CMBC,867,HERITAGE WOODS SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r867.ashx, , 
15653,CMBC,868,PINETREE SCHOOL, ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r868.ashx, , 
15654,CMBC,880,WINDSOR SCHOOL SPECIALS         , ,3,http://www.translink.ca/~/media/Route_Files/66/routemap/r880.ashx, , 
